  iShares MSCI Emerging Markets ETF
(EEM) Inception Date:,4/7/2003
Fund Holdings as of,11/15/2013,Holdings are subject to change.
Total Net Assets ($000s),41911539
Number of Securities,822
Stock,99.64%
Cash,0.16%
Other,0.20%
May include dividends booked but not yet received.





CUSIP,ISIN,Sedol,Symbol,Name,% Net Assets,Market Value,Market,Sector,Exchange Rate,Market Price,Shares Held
--,BRBRFSACNOR8,2036995     ,BRFS3     ,"BRF SA",0.40,165897311.95,"XBSP","Consumer Staples",2.31,22.72,7302385
992135210   ,MXP810081010,B02YZ04     ,WALMEXV   ,"WALMART DE MEXICO-SER V",0.39,161870289.83,"XMEX","Consumer Staples",12.96,2.60,62147400
--,KR7105560007,B3DF0Y6     ,105560    ,"KB FINANCIAL GROUP INC",0.38,161308530.73,"XKRX","Financials",1063.45,37.57,4293955
--,HK0688002218,6192150     ,688       ,"CHINA OVERSEAS LAND & INVEST",0.35,145767678.85,"XHKG","Financials",7.75,3.03,48094960
669888109   ,US6698881090,B0DK750     ,NVTK      ,"NOVATEK OAO-SPONS GDR REG S",0.34,142070904.00,"XLON-IOE","Energy",1.0,136.00,1044639
--,KR7051910008,6346913     ,051910    ,"LG CHEM LTD",0.33,138543518.29,"XKRX","Materials",1063.45,269.41,514255
560989907   ,MYL1155OO000,6556325     ,MAY       ,"MALAYAN BANKING BHD",0.33,138195239.05,"XKLS","Financials",3.2,3.05,45298900
--,TW0002412004,6287841     ,2412      ,"CHUNGHWA TELECOM CO LTD",0.33,137446383.07,"XTAI","Telecommunication Services",29.56,3.11,44215410
--,MXP225611567,2406457     ,CEMEXCPO  ,"CEMEX SAB-CPO",0.33,136760438.65,"XMEX","Materials",12.96,1.09,125325854
--,ID1000109507,B01C1P6     ,BBCA      ,"BANK CENTRAL ASIA TBK PT",0.32,133854679.78,"XIDX","Financials",11619.94,0.88,152488500
--,MXP370841019,2643674     ,GMEXICOB  ,"GRUPO MEXICO SAB DE CV-SER B",0.32,133302198.91,"XMEX","Materials",12.96,3.03,44063688
--,BRITSAACNPR7,2458771     ,ITSA4     ,"ITAUSA-INVESTIMENTOS ITAU-PR",0.31,131967218.53,"XBSP","Financials",2.31,4.08,32348744
--,PLPKO0000016,B03NGS5     ,PKO       ,"PKO BANK POLSKI SA",0.31,128240565.48,"XWAR","Financials",3.11,13.29,9651275
--,ID1000122807,B800MQ5     ,ASII      ,"ASTRA INTERNATIONAL TBK PT",0.31,127960653.78,"XIDX","Consumer Discretionary",11619.94,0.54,236015000
--,ZAE000066304,6606996     ,FSR       ,"FIRSTRAND LTD",0.30,127656740.04,"XJSE","Financials",10.17,3.25,39337618
--,TW0001301000,6348544     ,1301      ,"FORMOSA PLASTICS CORP",0.30,126704544.24,"XTAI","Materials",29.56,2.56,49417280
--,TW0002882008,6425663     ,2882      ,"CATHAY FINANCIAL HOLDING CO",0.30,125839862.55,"XTAI","Financials",29.56,1.47,85425185
--,TW0001303006,6621580     ,1303      ,"NAN YA PLASTICS CORP",0.30,125303078.39,"XTAI","Materials",29.56,2.17,57611160
--,COC04PA00016,B2473N4     ,ECOPETL   ,"ECOPETROL SA",0.30,124993716.23,"XBOG","Energy",1922.45,2.14,58465687
607409109   ,US6074091090,2603225     ,MBT       ,"MOBILE TELESYSTEMS-SP ADR",0.30,124439288.35,"XNYS","Telecommunication Services",1.0,21.97,5664055
--,CNE1000002R0,B09N7M0     ,1088      ,"CHINA SHENHUA ENERGY CO-H",0.29,120093021.04,"XHKG","Energy",7.75,3.16,38006500
--,INE154A01025,B0JGGP5     ,ITC       ,"ITC LTD",0.29,119940288.45,"XNSE","Consumer Staples",63.26,4.97,24129187
--,TW0002002003,6190950     ,2002      ,"CHINA STEEL CORP",0.29,119584358.12,"XTAI","Materials",29.56,0.85,141413288
--,KR7009540006,6446620     ,009540    ,"HYUNDAI HEAVY INDUSTRIES",0.28,118835108.69,"XKRX","Industrials",1063.45,259.06,458712
--,BRCIELACNOR3,B614LY3     ,CIEL3     ,"CIELO SA",0.28,117067964.33,"XBSP","Information Technology",2.31,28.91,4049862
--,ZAE000070660,B0L6750     ,SLM       ,"SANLAM LTD",0.28,116729595.68,"XJSE","Financials",10.17,5.09,22915507
--,CNE100000Q43,B60LZR6     ,1288      ,"AGRICULTURAL BANK OF CHINA-H",0.28,116206719.74,"XHKG","Financials",7.75,0.49,238999000
--,MYL1023OO000,6075745     ,CIMB      ,"CIMB GROUP HOLDINGS BHD",0.28,115396698.84,"XKLS","Financials",3.2,2.30,50075600
--,KR7086790003,B0RNRF5     ,086790    ,"HANA FINANCIAL GROUP",0.26,109617719.32,"XKRX","Financials",1063.45,37.43,2928968
--,RU0009033591,B59BXN2     ,TATN      ,"TATNEFT-CLS",0.26,108788495.78,"MISX","Energy",32.62,6.38,17043000
--,BRBVMFACNOR3,B2RHNV9     ,BVMF3     ,"BM&FBOVESPA SA",0.26,108136387.32,"XBSP","Financials",2.31,5.19,20852300
--,MXP000511016,2043423     ,ALFAA     ,"ALFA S.A.B.-A",0.26,107159750.32,"XMEX","Industrials",12.96,2.86,37467600
--,MYL5347OO009,6904612     ,TNB       ,"TENAGA NASIONAL BHD",0.25,106042521.64,"XKLS","Utilities",3.2,2.94,36012850
--,BRBBDCACNOR1,B00FM86     ,BBDC3     ,"BANCO BRADESCO S.A.",0.25,105697530.79,"XBSP","Financials",2.31,15.08,7008140
--,CNE1000009Q7,B2Q5H56     ,2601      ,"CHINA PACIFIC INSURANCE GR-H",0.25,105381451.61,"XHKG","Financials",7.75,3.62,29129800
--,TW0002308004,6260734     ,2308      ,"DELTA ELECTRONICS INC",0.25,102882540.13,"XTAI","Information Technology",29.56,4.87,21122000
--,ID1000129000,BD4T6W7     ,TLKM      ,"TELEKOMUNIKASI INDONESIA PER",0.25,102881536.86,"XIDX","Telecommunication Services",11619.94,0.19,549644500
--,BMG2519Y1084,2232878     ,BAP       ,"CREDICORP LTD",0.24,101337963.30,"XNYS","Financials",1.0,132.30,765971
--,CNE1000002M1,B1DYPZ5     ,3968      ,"CHINA MERCHANTS BANK-H",0.24,101278716.04,"XHKG","Financials",7.75,1.98,51258467
--,RU000A0J2Q06,B59SS16     ,ROSN      ,"ROSNEFT OAO",0.24,100903065.76,"MISX","Energy",32.62,7.49,13479877
--,TW0002881000,6411673     ,2881      ,"FUBON FINANCIAL HOLDING CO",0.24,100638515.72,"XTAI","Financials",29.56,1.38,72832969
--,TH0015010R16,6363172     ,SCBr      ,"SIAM COMMERCIAL BANK P-NVDR",0.24,100359450.36,"XBKK","Financials",31.63,5.28,19008200
160423992   ,KR7000810002,6155250     ,000810    ,"SAMSUNG FIRE & MARINE INS",0.24,99925406.86,"XKRX","Financials",1063.45,244.49,408714
--,TRAGARAN91N1,B03MYP5     ,GARAN     ,"TURKIYE GARANTI BANKASI",0.24,99141078.42,"XIST","Financials",2.03,3.76,26366466
--,TW0001216000,6700393     ,1216      ,"UNI-PRESIDENT ENTERPRISES CO",0.23,97076582.90,"XTAI","Consumer Staples",29.56,1.83,53146733
--,KYG9431R1039,B2Q14Z3     ,151       ,"WANT WANT CHINA HOLDINGS LTD",0.23,97034542.71,"XHKG","Consumer Staples",7.75,1.40,69407000
--,KYG4402L1510,6136233     ,1044      ,"HENGAN INTL GROUP CO LTD",0.23,96259310.40,"XHKG","Consumer Staples",7.75,11.92,8077500
--,ZAE000012084,6801575     ,SHP       ,"SHOPRITE HOLDINGS LTD",0.23,96179425.20,"XJSE","Consumer Staples",10.17,17.48,5502383
--,MYL4197OO009,B29TTR1     ,SIME      ,"SIME DARBY BERHAD",0.23,95055376.51,"XKLS","Industrials",3.2,2.97,32009973
--,TW0001326007,6348715     ,1326      ,"FORMOSA CHEMICALS & FIBRE",0.23,94846584.24,"XTAI","Materials",29.56,2.79,34029090
--,ZAE000117321,6100089     ,BVT       ,"BIDVEST GROUP LTD",0.22,93739282.75,"XJSE","Industrials",10.17,25.43,3686136
--,ZAE000026480,6290689     ,REM       ,"REMGRO LTD",0.22,93155944.85,"XJSE","Financials",10.17,19.20,4851246
--,KR7033780008,6175076     ,033780    ,"KT&G CORP",0.22,92288608.71,"XKRX","Consumer Staples",1063.45,72.97,1264746
--,TH0646010R18,6420408     ,PTT-R     ,"PTT PCL-NVDR",0.22,92033639.38,"XBKK","Energy",31.63,9.80,9390400
--,BRUGPAACNOR8,B0FHTN1     ,UGPA3     ,"ULTRAPAR PARTICIPACOES SA",0.22,91697333.72,"XBSP","Energy",2.31,25.27,3629000
--,TH0268010R11,6412609     ,ADVANC-R  ,"ADVANCED INFO SERVICE-NVDR",0.22,91271088.00,"XBKK","Telecommunication Services",31.63,7.43,12284700
--,PLPZU0000011,B63DG21     ,PZU       ,"POWSZECHNY ZAKLAD UBEZPIECZE",0.22,90997011.92,"XWAR","Financials",3.11,145.99,623319
996527669   ,TW0002891009,6527666     ,2891      ,"CTBC FINANCIAL HOLDING CO LT",0.21,89563473.47,"XTAI","Financials",29.56,0.64,140095755
--,PLPEKAO00016,5473113     ,PEO       ,"BANK PEKAO SA",0.21,88771201.57,"XWAR","Financials",3.11,61.14,1451853
996708319   ,ID1000118201,6709099     ,BBRI      ,"BANK RAKYAT INDONESIA PERSER",0.21,87788928.61,"XIDX","Financials",11619.94,0.66,133346622
--,KR7096770003,B232R05     ,096770    ,"SK INNOVATION CO LTD",0.21,87642524.10,"XKRX","Energy",1063.45,129.30,677843
162638993   ,HK0000049939,6263830     ,762       ,"CHINA UNICOM HONG KONG LTD",0.21,85989096.99,"XHKG","Telecommunication Services",7.75,1.53,56122000
--,KR7000830000,6771601     ,000830    ,"SAMSUNG C&T CORP",0.20,85537696.78,"XKRX","Industrials",1063.45,58.96,1450798
99B5B1TX2   ,RU0007288411,B5B1TX2     ,GMKN      ,"MMC NORILSK NICKEL OJSC",0.20,83590998.28,"MISX","Materials",32.62,146.46,570743
--,MYL3182OO002,B1VXJL8     ,GENT      ,"GENTING BHD",0.19,81563278.70,"XKLS","Consumer Discretionary",3.2,3.25,25116000
--,HK0992009065,6218089     ,992       ,"LENOVO GROUP LTD",0.19,81544395.45,"XHKG","Information Technology",7.75,1.16,70330000
--,TH0016010017,6888794     ,KBANK/F   ,"KASIKORNBANK PCL-FOREIGN",0.19,81523111.35,"XBKK","Financials",31.63,5.82,14014000
--,ZAE000066692,B09C0Z1     ,APN       ,"ASPEN PHARMACARE HOLDINGS LT",0.19,79843327.30,"XJSE","Health Care",10.17,26.08,3061795
--,KR7015760002,6495730     ,015760    ,"KOREA ELECTRIC POWER CORP",0.19,79669870.51,"XKRX","Utilities",1063.45,28.07,2838355
--,TH0355010R16,B1359L2     ,PTTEPr    ,"PTT EXPLOR & PROD PCL-NVDR",0.19,78973914.09,"XBKK","Energy",31.63,5.34,14780739
--,BRCCROACNOR2,2840970     ,CCRO3     ,"CCR SA",0.19,78123077.01,"XBSP","Industrials",2.31,7.69,10156000
--,BRGGBRACNPR8,2645517     ,GGBR4     ,"GERDAU SA-PREF",0.19,77681989.84,"XBSP","Materials",2.31,7.94,9779985
--,BRBBASACNOR3,2328595     ,BBAS3     ,"BANCO DO BRASIL S.A.",0.18,75340365.30,"XBSP","Financials",2.31,11.62,6485774
--,RU0007661302,B59MFL7     ,URKA      ,"URALKALI",0.18,75233700.60,"MISX","Materials",32.62,5.37,14002555
--,ZAE000083648,B1FFT76     ,IMP       ,"IMPALA PLATINUM HOLDINGS LTD",0.18,75094430.12,"XJSE","Materials",10.17,13.03,5763285
--,CNE1000002V2,6559335     ,728       ,"CHINA TELECOM CORP LTD-H",0.18,74733990.01,"XHKG","Telecommunication Services",7.75,0.51,145960000
--,BRBBSEACNOR5,B9N3SQ0     ,BBSE3     ,"BB SEGURIDADE PARTICIPACOES",0.17,72935375.62,"XBSP","Financials",2.31,10.43,6994300
--,KR7066570003,6520739     ,066570    ,"LG ELECTRONICS INC",0.17,72556621.68,"XKRX","Consumer Discretionary",1063.45,62.16,1167327
--,ID1000095003,6651048     ,BMRI      ,"BANK MANDIRI PERSERO TBK PT",0.17,72286265.66,"XIDX","Financials",11619.94,0.67,107687400
--,TRAAKBNK91N6,B03MN70     ,AKBNK     ,"AKBANK T.A.S.",0.17,72115213.84,"XIST","Financials",2.03,3.58,20127376
--,TW0002886009,6444066     ,2886      ,"MEGA FINANCIAL HOLDING CO LT",0.17,72094536.60,"XTAI","Financials",29.56,0.81,89553229
--,TW0003045001,6290496     ,3045      ,"TAIWAN MOBILE CO LTD",0.17,71366280.81,"XTAI","Telecommunication Services",29.56,3.25,21954600
--,KYG2108Y1052,6193766     ,1109      ,"CHINA RESOURCES LAND LTD",0.17,70672315.82,"XHKG","Financials",7.75,2.76,25606000
--,KR7010140002,6772217     ,010140    ,"SAMSUNG HEAVY INDUSTRIES",0.17,70179179.39,"XKRX","Industrials",1063.45,37.75,1858830
--,CLP371861061,2299453     ,ENERSIS   ,"ENERSIS SA",0.17,69962816.56,"XSGO","Utilities",521.13,0.31,224659957
--,CLP3880F1085,2771672     ,FALAB     ,"S.A.C.I. FALABELLA",0.17,69664482.63,"XSGO","Consumer Discretionary",521.13,9.56,7285836
--,MYL1961OO001,B1Y3WG1     ,IOI       ,"IOI CORPORATION BHD",0.17,69587019.15,"XKLS","Consumer Staples",3.2,1.70,40965520
--,RU0008926258,B5BHQP1     ,SNGS      ,"SURGUTNEFTEGAS",0.17,69576278.86,"MISX","Energy",32.62,0.86,80689810
--,BRSANBCDAM13,B4V5RY4     ,SANB11    ,"BANCO SANTANDER  BRASIL-UNIT",0.16,68957902.84,"XBSP","Financials",2.31,6.55,10532580
--,ZAE000063863,B06KZ97     ,WHL       ,"WOOLWORTHS HOLDINGS LTD",0.16,68215135.67,"XJSE","Consumer Discretionary",10.17,7.16,9531186
--,CLP7847L1080,2196026     ,COPEC     ,"EMPRESAS COPEC SA",0.16,67659246.92,"XSGO","Industrials",521.13,14.05,4815766
122924996   ,BRVIVTACNPR7,B3ZCNF7     ,VIVT4     ,"TELEFONICA BRASIL S.A.-PREF",0.16,67521186.58,"XBSP","Telecommunication Services",2.31,19.33,3492267
--,MXP606941179,2491914     ,KIMBERA   ,"KIMBERLY-CLARK DE MEXICO-A",0.16,67093388.84,"XMEX","Consumer Staples",12.96,2.96,22699200
--,ZAE000043485,6565655     ,ANG       ,"ANGLOGOLD ASHANTI LTD",0.16,66957285.54,"XJSE","Materials",10.17,15.77,4245471
37953P202   ,US37953P2020,BF8HVZ9     ,GLTD      ,"GLOBAL TELECOM HOLDING-GDR",0.16,66921963.90,"XLON-IOE","Telecommunication Services",1.0,3.30,20279383
--,CNE100000205,B0B8Z29     ,3328      ,"BANK OF COMMUNICATIONS CO-H",0.16,66771623.87,"XHKG","Financials",7.75,0.71,94131600
--,TH0737010R15,B08YDH1     ,CPALLr    ,"CP ALL PCL-NVDR",0.16,66450842.07,"XBKK","Consumer Staples",31.63,1.30,50953700
--,KR7006400006,6771645     ,006400    ,"SAMSUNG SDI CO LTD",0.16,66113889.17,"XKRX","Information Technology",1063.45,163.15,405238
--,CNE100000HF9,B57JY24     ,1988      ,"CHINA MINSHENG BANKING-H",0.16,66023126.84,"XHKG","Financials",7.75,1.13,58639200
--,KYG210961051,B01B1L9     ,2319      ,"CHINA MENGNIU DAIRY CO",0.16,65940170.30,"XHKG","Consumer Staples",7.75,4.32,15262000
--,CNE100000338,6718255     ,2333      ,"GREAT WALL MOTOR COMPANY-H",0.16,65756692.19,"XHKG","Consumer Discretionary",7.75,5.84,11267500
980SNC002   ,--,--,--,"BLACKROCK FDS III",0.16,65503038.30,"","S-T Securities",1.0,1.00,65503038
--,TW0002311008,6056074     ,2311      ,"ADVANCED SEMICONDUCTOR ENGR",0.16,65222216.06,"XTAI","Information Technology",29.56,1.02,64059701
--,INE044A01036,6582483     ,SUNP      ,"SUN PHARMACEUTICAL INDUS",0.15,64944752.50,"XNSE","Health Care",63.26,9.46,6861637
--,KR7032830002,B12C0T9     ,032830    ,"SAMSUNG LIFE INSURANCE CO LT",0.15,63298434.33,"XKRX","Financials",1063.45,95.44,663199
--,ZAE000004875,6628008     ,NED       ,"NEDBANK GROUP LTD",0.15,63244783.22,"XJSE","Financials",10.17,20.58,3072796
--,MYL4715OO008,B1VXKN7     ,GENM      ,"GENTING MALAYSIA BHD",0.15,62969219.37,"XKLS","Consumer Discretionary",3.2,1.35,46572500
--,KR7003550001,6537030     ,003550    ,"LG CORP",0.15,62792055.40,"XKRX","Industrials",1063.45,57.45,1092900
--,INE090A01013,6100368     ,ICICIBC   ,"ICICI BANK LTD",0.15,62404047.50,"XNSE","Financials",63.26,16.63,3752191
--,ZAE000071080,B0J4PP2     ,TBS       ,"TIGER BRANDS LTD",0.15,61901248.68,"XJSE","Consumer Staples",10.17,29.50,2098246
--,TW0001101004,6869937     ,1101      ,"TAIWAN CEMENT",0.15,61173741.29,"XTAI","Materials",29.56,1.44,42603296
--,PLKGHM000017,5263251     ,KGH       ,"KGHM POLSKA MIEDZ SA",0.15,61172178.71,"XWAR","Materials",3.11,38.46,1590707
--,KYG097021045,B1WJ4X2     ,1880      ,"BELLE INTERNATIONAL HOLDINGS",0.15,61075750.30,"XHKG","Consumer Discretionary",7.75,1.25,48871000
--,ID1000111602,6719764     ,PGAS      ,"PERUSAHAAN GAS NEGARA PERSER",0.14,60767458.27,"XIDX","Utilities",11619.94,0.42,145590500
--,TH0001010014,6077019     ,BBL/F     ,"BANGKOK BANK PCL-FOREIGN REG",0.14,60347101.13,"XBKK","Financials",31.63,6.39,9449400
--,MYF1295O1009,B012W53     ,PBKF      ,"PUBLIC BANK BHD-FOREIGN MKT",0.14,60345111.01,"XKLS","Financials",3.2,5.68,10630100
--,KYG8878S1030,6903556     ,322       ,"TINGYI (CAYMAN ISLN) HLDG CO",0.14,59852895.25,"XHKG","Consumer Staples",7.75,2.81,21288000
--,MYL6888OO001,B2QZGV5     ,AXIATA    ,"AXIATA GROUP BERHAD",0.14,59456983.61,"XKLS","Telecommunication Services",3.2,2.13,27919500
--,CZ0005112300,5624030     ,CEZ       ,"CEZ AS",0.14,59340536.62,"XPRA","Utilities",20.15,27.32,2172393
--,MXP370641013,2822398     ,GFINBURO  ,"GRUPO FINANCIERO INBURSA-O",0.14,59192156.30,"XMEX","Financials",12.96,2.52,23448400
--,TW0002105004,6190228     ,2105      ,"CHENG SHIN RUBBER IND CO LTD",0.14,59143906.97,"XTAI","Consumer Discretionary",29.56,2.49,23789128
--,BRPCARACNPR0,B5VGS74     ,PCAR4     ,"CIA BRASILEIRA DE DIS-PREF",0.14,58878708.68,"XBSP","Consumer Staples",2.31,47.79,1231986
--,TW0002382009,6141011     ,2382      ,"QUANTA COMPUTER INC",0.14,58106110.10,"XTAI","Information Technology",29.56,2.20,26428000
--,BMG5320C1082,6340078     ,135       ,"KUNLUN ENERGY CO LTD",0.14,57935532.46,"XHKG","Energy",7.75,1.67,34608000
--,INE030A01027,6261674     ,HUVR      ,"HINDUSTAN UNILEVER LTD",0.14,57783652.60,"XNSE","Consumer Staples",63.26,9.17,6299688
--,MYL1015OO006,6047023     ,AMM       ,"AMMB HOLDINGS BHD",0.14,57720357.15,"XKLS","Financials",3.2,2.26,25496475
--,RU0009029524,B5BHR47     ,SNGSP     ,"SURGUTNEFTEGAS-PREFERENCE",0.14,57031826.45,"MISX","Energy",32.62,0.73,78125700
--,KR7034220004,B01VZN9     ,034220    ,"LG DISPLAY CO LTD",0.14,56803329.43,"XKRX","Information Technology",1063.45,22.05,2576012
--,CLP3710M1090,2299356     ,ENDESA    ,"EMPRESA NACIONAL DE ELECTRIC",0.13,55933005.36,"XSGO","Utilities",521.13,1.50,37394502
--,KR7139480008,B682TF7     ,139480    ,"E-MART CO LTD",0.13,55844439.28,"XKRX","Consumer Staples",1063.45,235.08,237551
--,MXP690491412,2374521     ,SANMEXB   ,"GRUPO FIN SANTANDER-B",0.13,55564807.80,"XMEX","Financials",12.96,2.74,20298700
--,KR7051900009,6344456     ,051900    ,"LG HOUSEHOLD & HEALTH CARE",0.13,55138547.86,"XKRX","Consumer Staples",1063.45,503.08,109602
--,HK0392044647,6081690     ,392       ,"BEIJING ENTERPRISES HLDGS",0.13,55099056.73,"XHKG","Industrials",7.75,8.21,6712000
--,TW0002303005,6916628     ,2303      ,"UNITED MICROELECTRONICS CORP",0.13,54814487.01,"XTAI","Information Technology",29.56,0.41,134482000
--,TW0002357001,6051046     ,2357      ,"ASUSTEK COMPUTER INC",0.13,54663916.34,"XTAI","Information Technology",29.56,7.71,7087968
